distance,fuel,location,make,model,price,resource,year
237042.0,Dizel,Podgorica,Volkswagen,Golf 7,10990.0,autodiler.me,2014
121469.0,Dizel,Podgorica,Volvo,XC 60,34990.0,autodiler.me,2017
227025.0,Dizel,Podgorica,Volkswagen,Tiguan,19990.0,autodiler.me,2017
119136.0,Dizel,Podgorica,Audi,A3,19990.0,autodiler.me,2017
124289.0,Dizel,Podgorica,Audi,Q5,36990.0,autodiler.me,2017
124432.0,Dizel,Podgorica,Audi,A6,29990.0,autodiler.me,2017
145695.0,Dizel,Podgorica,Audi,A5,24990.0,autodiler.me,2016
246000.0,Dizel,Podgorica,Audi,A5,18000.0,autodiler.me,2016
186757.0,Dizel,Podgorica,Renault,Megane,5300.0,autodiler.me,2011
223828.0,Dizel,Podgorica,BMW,316,13500.0,autodiler.me,2016
213000.0,Dizel,Nikšić,Nissan,Qashqai,11800.0,autodiler.me,2013
172000.0,Dizel,Nikšić,Jeep,Grand Cherokee,32000.0,autodiler.me,2013
116600.0,Dizel,Podgorica,Volkswagen,Polo,10500.0,autodiler.me,2017
163000.0,Dizel,Podgorica,Mercedes Benz,E 350,34000.0,autodiler.me,2017
48432.0,Benzin,Podgorica,Volkswagen,Eos,10000.0,autodiler.me,2007
196000.0,Dizel,Podgorica,BMW,520,15700.0,autodiler.me,2011
136000.0,Dizel,Budva,Volkswagen,Passat,19200.0,autodiler.me,2016
206500.0,Dizel,Nikšić,Volkswagen,Golf 7,15500.0,autodiler.me,2017
197000.0,Dizel,Podgorica,Audi,A3,9200.0,autodiler.me,2009
203000.0,Dizel,Podgorica,Volkswagen,Touran,8900.0,autodiler.me,2011
200000.0,Dizel,Podgorica,Volkswagen,Tiguan,13950.0,autodiler.me,2012
179000.0,Dizel,Podgorica,Volkswagen,Polo,3700.0,autodiler.me,2007
213753.0,Dizel,Podgorica,BMW,520,13900.0,autodiler.me,2011
240000.0,Dizel,Berane,Audi,A6,11000.0,autodiler.me,2010
291000.0,Dizel,Podgorica,Volkswagen,Passat,9950.0,autodiler.me,2011
130000.0,Dizel,Podgorica,BMW,X6,40000.0,autodiler.me,2015
178.0,Dizel,Nikšić,Volkswagen,Passat Alltrack,21000.0,autodiler.me,2016
275000.0,Dizel,Nikšić,Audi,A6,19800.0,autodiler.me,2014
235000.0,Dizel,Podgorica,Peugeot,407,3950.0,autodiler.me,2009
242000.0,Dizel,Podgorica,Renault,Clio,6000.0,autodiler.me,2013
172000.0,Dizel,Danilovgrad,Nissan,Juke,13500.0,autodiler.me,2019
51000.0,Dizel,Danilovgrad,Volkswagen,Golf 8,37500.0,autodiler.me,2021
199000.0,Dizel,Podgorica,BMW,320,15800.0,autodiler.me,2012
184000.0,Dizel,Nikšić,Volkswagen,Golf 7,13400.0,autodiler.me,2017
193000.0,Dizel,Bar,Volkswagen,Golf 7,18500.0,autodiler.me,2015
215453.0,Dizel,Podgorica,Audi,A6,15500.0,autodiler.me,2013
199500.0,Dizel,Cetinje,Škoda,Yeti,11450.0,autodiler.me,2015
206062.0,Dizel,Budva,Volkswagen,Golf 6,12860.0,autodiler.me,2012
357000.0,Dizel,Bar,BMW,320,5500.0,autodiler.me,2007
105251.0,Dizel,Podgorica,Volkswagen,Passat Alltrack,28980.0,autodiler.me,2018
119264.0,Dizel,Podgorica,Volvo,XC 60,39980.0,autodiler.me,2019
220000.0,Dizel,Bar,Audi,Q7,18100.0,autodiler.me,2010
226000.0,Dizel,Podgorica,Mazda,CX,18000.0,autodiler.me,2018
46941.0,Dizel,Podgorica,Mercedes Benz,C 220,38900.0,autodiler.me,2019
266000.0,Dizel,Podgorica,Mercedes Benz,E 350,14000.0,autodiler.me,2011
160000.0,Benzin,Danilovgrad,Peugeot,308,10500.0,autodiler.me,2009
208000.0,Dizel,Cetinje,Audi,Q5,14500.0,autodiler.me,2010
260000.0,Dizel,Nikšić,Mercedes Benz,E 220,28000.0,autodiler.me,2016
3468.0,Dizel,Podgorica,Mercedes Benz,E 220,58500.0,autodiler.me,2021
180000.0,Dizel,Podgorica,Volkswagen,Passat,14500.0,autodiler.me,2015
294000.0,Dizel,Podgorica,Volkswagen,Touran,5999.0,autodiler.me,2008
88000.0,Dizel,Podgorica,Mercedes Benz,S 350,64900.0,autodiler.me,2018
196000.0,Dizel,Budva,Volkswagen,Golf 7,19500.0,autodiler.me,2018
260000.0,Dizel,Nikšić,Mercedes Benz,E 220,29500.0,autodiler.me,2016
200000.0,Dizel,Podgorica,Volkswagen,Golf 5,5500.0,autodiler.me,2006
204000.0,Dizel,Podgorica,Audi,A3,12700.0,autodiler.me,2013
147150.0,Dizel,Ulcinj,Renault,Megane,11400.0,autodiler.me,2017
211000.0,Dizel,Podgorica,Volkswagen,Passat,17900.0,autodiler.me,2018
111.0,Dizel,Nikšić,Volkswagen,Passat,5000.0,autodiler.me,2006
222000.0,Dizel,Budva,Toyota,Urban Cruiser,9300.0,autodiler.me,2011
201000.0,Dizel,Cetinje,Mini,Clubman,5000.0,autodiler.me,2008
248000.0,Dizel,Nikšić,Volkswagen,Passat,2800.0,autodiler.me,2004
193800.0,Dizel,Bar,Mazda,CX,9000.0,autodiler.me,2011
287000.0,Dizel,Kotor,Opel,Vectra,1499.0,autodiler.me,2002
208000.0,Dizel,Ulcinj,Volkswagen,Golf 7,24000.0,autodiler.me,2018
245000.0,Dizel,Podgorica,Opel,Astra,7999.0,autodiler.me,2012
321000.0,Benzin+Plin,Nikšić,Mercedes Benz,C 200,2900.0,autodiler.me,1999
205000.0,Dizel,Herceg Novi,Jeep,Compass,9000.0,autodiler.me,2011
202358.0,Dizel,Bijelo Polje,Volkswagen,Golf 5,5650.0,autodiler.me,2008
104000.0,Dizel,Nikšić,Ford,Focus,3499.0,autodiler.me,2007
106000.0,Dizel,Nikšić,Renault,Kadjar,16950.0,autodiler.me,2018
194000.0,Dizel,Nikšić,Volkswagen,Polo,5650.0,autodiler.me,2011
175000.0,Dizel,Nikšić,Renault,Kadjar,15250.0,autodiler.me,2016
180000.0,Dizel,Nikšić,Škoda,Octavia,11750.0,autodiler.me,2015
361145.0,Dizel,Pljevlja,Volkswagen,Passat,900.0,autodiler.me,1993
220000.0,Dizel,Plav,BMW,X5,5600.0,autodiler.me,2004
177000.0,Benzin,Nikšić,Dacia,Duster,9650.0,autodiler.me,2014
111.0,Dizel,Podgorica,Audi,A6,6500.0,autodiler.me,2006
315000.0,Dizel,Nikšić,Volkswagen,Polo,3600.0,autodiler.me,2008
29717.0,Benzin+Plin,Budva,Renault,Laguna,700.0,autodiler.me,1997
235000.0,Dizel,Bijelo Polje,Renault,Scenic,2150.0,autodiler.me,2003
248450.0,Dizel,Nikšić,Volkswagen,Golf 7,11500.0,autodiler.me,2014
24.0,Dizel,Podgorica,Volkswagen,Golf 6,7350.0,autodiler.me,2009
245000.0,Dizel,Podgorica,Volkswagen,Passat,4650.0,autodiler.me,2006
256475.0,Dizel,Bar,Peugeot,307,2300.0,autodiler.me,2005
198000.0,Dizel,Budva,Volkswagen,Passat,18700.0,autodiler.me,2015
227000.0,Dizel,Podgorica,Volkswagen,Golf 6,10300.0,autodiler.me,2011
245000.0,Dizel,Budva,Mercedes Benz,ML 350,27000.0,autodiler.me,2011
269279.0,Benzin,Berane,Peugeot,308,5000.0,autodiler.me,2009
218800.0,Dizel,Nikšić,BMW,418 Gran Coupe,19900.0,autodiler.me,2017
352585.0,Dizel,Bar,Renault,Megane,1000.0,autodiler.me,2006
